cluster_annot	rank	signature	mean_z	pct_z_ge_1	delta_to_next	n_cells	recommended_label
Circulating NK	1	HALLMARK_BILE_ACID_METABOLISM	-0.19688706437612447	0.11642189586114819	0.008616367810783926	3745	unassigned
Circulating NK	2	HALLMARK_FATTY_ACID_METABOLISM	-0.2055034321869084	0.08224299065420561	0.06965004978555475	3745	unassigned
Circulating NK	3	HALLMARK_XENOBIOTIC_METABOLISM	-0.27515348197246314	0.08197596795727637	0.013863672474306366	3745	unassigned
Circulating NK	4	HALLMARK_GLYCOLYSIS	-0.2890171544467695	0.08037383177570094	0.11340071887479308	3745	unassigned
Circulating NK	5	HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.4024178733215626	0.027503337783711616	inf	3745	unassigned
Cytotoxic NK	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.1384288355308246	0.1799115189251188	0.011771985539331592	6103	unassigned
Cytotoxic NK	2	HALLMARK_XENOBIOTIC_METABOLISM	0.12665684999149301	0.19203670326069147	0.06660990702690991	6103	unassigned
Cytotoxic NK	3	HALLMARK_FATTY_ACID_METABOLISM	0.0600469429645831	0.16024905784040636	0.015990634242375526	6103	unassigned
Cytotoxic NK	4	HALLMARK_GLYCOLYSIS	0.044056308722207574	0.16532852695395708	0.0133269744693011	6103	unassigned
Cytotoxic NK	5	HALLMARK_BILE_ACID_METABOLISM	0.030729334252906474	0.16582008848107488	inf	6103	unassigned
High-Ribosomal NK	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.9840320920620766	0.5402160864345739	0.2558284170211791	1666	ambiguous
High-Ribosomal NK	2	HALLMARK_FATTY_ACID_METABOLISM	0.7282036750408976	0.3865546218487395	0.18459302649437948	1666	ambiguous
High-Ribosomal NK	3	HALLMARK_GLYCOLYSIS	0.5436106485465181	0.3115246098439376	0.3624459631248248	1666	ambiguous
High-Ribosomal NK	4	HALLMARK_XENOBIOTIC_METABOLISM	0.18116468542169326	0.1752701080432173	0.2730491251203866	1666	ambiguous
High-Ribosomal NK	5	HALLMARK_BILE_ACID_METABOLISM	-0.09188443969869335	0.10264105642256903	inf	1666	ambiguous
Homeostatic NK	1	HALLMARK_BILE_ACID_METABOLISM	0.30469074428007004	0.2640926640926641	0.3356464895621499	1295	unassigned
Homeostatic NK	2	HALLMARK_XENOBIOTIC_METABOLISM	-0.030955745282079842	0.17297297297297298	0.3025321777638651	1295	unassigned
Homeostatic NK	3	HALLMARK_GLYCOLYSIS	-0.33348792304594493	0.10965250965250965	0.43678813291354285	1295	unassigned
Homeostatic NK	4	HALLMARK_FATTY_ACID_METABOLISM	-0.7702760559594878	0.043243243243243246	0.4402217488185637	1295	unassigned
Homeostatic NK	5	HALLMARK_OXIDATIVE_PHOSPHORYLATION	-1.2104978047780515	0.0015444015444015444	inf	1295	unassigned
ILC1	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.12453510739438746	0.18962244252267454	0.052882479016931314	4741	unassigned
ILC1	2	HALLMARK_GLYCOLYSIS	0.07165262837745615	0.15460873233495043	0.006622910630476597	4741	unassigned
ILC1	3	HALLMARK_BILE_ACID_METABOLISM	0.06502971774697955	0.16515503058426492	0.02548868621850041	4741	unassigned
ILC1	4	HALLMARK_FATTY_ACID_METABOLISM	0.03954103152847914	0.16072558531955283	0.04044160973633717	4741	unassigned
ILC1	5	HALLMARK_XENOBIOTIC_METABOLISM	-0.0009005782078580292	0.15165576882514237	inf	4741	unassigned
